logFC logCPM PValue adj.PValue
170685 -1.5916451453589 4.19374269095492 4.32407765636686e-22 1.03780785426897e-19
3772 -3.07904489400218 3.48121078172724 4.43586973444522e-22 1.05749348212905e-19
55107 -2.74411153411517 6.82200834757565 4.55150780712322e-22 1.07782739211216e-19
60489 -2.03950196236892 3.9586853309159 4.59621967363916e-22 1.08120741077706e-19
80221 -1.72529403381089 4.69000699895548 4.77378047584844e-22 1.11147338333747e-19
100507171 -1.22391289338798 1.31317003702956 4.78746171703028e-22 1.11147338333747e-19
375616 -3.89029031388927 2.0039732727418 4.86716375460804e-22 1.12263976446385e-19
7168 -1.49776795969425 9.72449805036722 5.08024693461691e-22 1.15676571387518e-19
5831 1.39993541661001 7.05559262714976 5.05534675169033e-22 1.15676571387518e-19
113026 -1.16548630170248 4.63790799384541 6.91971141246353e-22 1.56557368842113e-19
439921 -1.21185775224679 6.95016177956436 7.00292231373005e-22 1.57437217408864e-19
57864 -4.26487029094312 0.292309124562362 8.82614586195829e-22 1.97178318970201e-19
29850 -4.65646437344052 0.417248870324759 9.22269028906424e-22 2.04749488598657e-19
389655 -1.75040877204733 -1.07189291234447 1.00634082274875e-21 2.22026287980486e-19
10886 -5.6234360897043 -0.100386547562324 1.10417948136955e-21 2.42108391097084e-19
64091 -1.66269807624646 4.47855130612087 1.1489968574776e-21 2.50389677143937e-19
724102 2.00434991449794 1.3406413878291 1.16303730738325e-21 2.51903952411955e-19
222698 -1.67744146286462 0.115317075129063 1.28044548302104e-21 2.75652751529639e-19
256309 1.32947854091459 2.08484128856892 1.29107099179476e-21 2.76265859635793e-19
2949 -1.67516664814979 4.06127461966105 1.47353888865275e-21 3.13422603975057e-19
375295 -3.77322171410361 1.59392155501506 1.54703213880806e-21 3.27096003586912e-19
152742 -4.7325902765107 -1.30117146568686 1.66586327806301e-21 3.50136860947196e-19
10398 -1.72423705234002 10.6479933296108 1.84367100307499e-21 3.85229633530746e-19
3754 -2.74340372502604 -0.724369309334333 1.87284513750522e-21 3.89037029996041e-19
23492 -0.899766890562593 6.52205734402075 1.91273557537239e-21 3.95013257981411e-19
57630 1.39892252974581 6.84299771649132 1.9670920488693e-21 4.03890616577377e-19
2697 -1.226206031484 7.01632102926212 2.21378378959474e-21 4.51929965460889e-19
55544 -1.06787280562183 5.0432127788743 2.36895882260389e-21 4.80844493358359e-19
1674 -1.91459078762102 11.2748387636186 2.4773158385564e-21 4.9998145398501e-19
7484 -4.98355817279691 1.23589802555612 2.62500391839244e-21 5.26795277882587e-19
140576 -1.41296511091559 5.16975597396338 2.66850502460524e-21 5.32516668421364e-19
2621 -1.28628384326596 7.09126333598352 2.82982523351047e-21 5.61554313516902e-19
10611 1.95722442800712 10.1808847725505 3.06126390275929e-21 6.04106417166183e-19
4355 -1.44112265744724 3.75435634417894 3.08117131804448e-21 6.0467561540474e-19
100128675 2.14361492407521 -1.52986868507025 3.37006181053143e-21 6.57736074570808e-19
55086 -1.59315004459145 0.481339495851106 3.74929828794139e-21 7.27753139267573e-19
440712 -3.5123207796052 2.32752048248224 3.84265093305202e-21 7.41819585831201e-19
57636 -1.2848127256996 5.37439276031497 4.16554289717044e-21 7.99806752704817e-19
4638 -1.74493420923465 10.4636967172504 4.37124923646583e-21 8.34791097465068e-19
10669 1.93960547349395 4.38964703505084 4.53164096030218e-21 8.6079368209034e-19
284439 0.931626391139667 5.17088546159684 4.74944545243843e-21 8.97367297425879e-19
115557 -1.37014436977639 5.16608593357996 4.94318411731833e-21 9.26209421141239e-19
444 -0.960105377862804 6.55662892521627 4.95424650254315e-21 9.26209421141239e-19
5358 -1.25254653538479 5.20853165184443 5.06615496964952e-21 9.42172202496966e-19
2774 -1.34770848339656 4.47431452759479 5.11566271624264e-21 9.46424246581535e-19
572558 -2.14445549904119 3.59032170144698 5.20727790707234e-21 9.58381961332211e-19
6491 1.30984490014942 2.70729021242121 5.68412378171516e-21 1.0407513445892e-18
3215 -4.84975702691186 1.37235360352394 5.85790212612068e-21 1.0670694431894e-18
55861 -1.34262144549314 1.78405273026067 5.91981650334994e-21 1.07284592865048e-18
83982 -1.32563949691444 2.83524636059603 6.51240969864383e-21 1.17425027870826e-18
155006 -3.47511656886653 0.287468768496967 6.65838714382195e-21 1.19450792795808e-18
342667 -4.40395193296424 5.30756015187853 6.82933139196458e-21 1.21901849434158e-18
5742 -2.68618080171187 5.62436771121464 7.64289530566702e-21 1.35741642076299e-18
84983 2.05555325066501 -1.06433812201239 8.03847340872492e-21 1.42057021866327e-18
6573 1.31410247589573 5.12072962102693 8.54512839946305e-21 1.50263121721449e-18
388135 -1.55634678811805 3.69936837782551 8.81194725490618e-21 1.54191713517991e-18
6590 -4.30131153749038 7.5252407178431 8.98445093205495e-21 1.564395497831e-18
541468 -1.34290435489599 1.49548639255679 1.01322556381141e-20 1.75564806108024e-18
220001 -1.80457644544879 0.83732966614469 1.02309361539849e-20 1.76414118022184e-18
284276 -1.7191471981213 1.20275544244585 1.08927019196429e-20 1.86917712506104e-18
125050 6.51512648161132 7.74293175102911 1.09810187004091e-20 1.87527290989055e-18
5239 -1.79314098685223 8.00329961752789 1.12655178069493e-20 1.91465290918969e-18
958 -1.1834034108386 4.16201632893546 1.17092642343199e-20 1.98059416603465e-18
84457 -1.79479410649886 2.18880967527136 1.2666287213789e-20 2.13231842711373e-18
2202 -1.44139790907593 6.29679399479209 1.27411850243734e-20 2.13480959080551e-18
2819 -3.35216136264826 0.755500780708898 1.28797059315894e-20 2.13785062801863e-18
644538 -1.38621019149668 3.03818972408857 1.28278092259472e-20 2.13785062801863e-18
443 -2.00913312814321 2.49710414076962 1.3086184211126e-20 2.16202022959724e-18
22879 2.26951481258436 7.83927594693825 1.34987504144771e-20 2.2104571739397e-18
6876 -1.66956738875068 10.8333518409243 1.35038204652154e-20 2.2104571739397e-18
83871 -1.13860449551505 5.61051111110464 1.43098340720059e-20 2.32567438371511e-18
57105 -3.694471632793 2.69441958978854 1.43386360190763e-20 2.32567438371511e-18
