logFC logCPM PValue adj.PValue
1073 -1.46603017891542 6.54345292764329 7.27082736122273e-22 1.00289402687205e-19
51704 -1.65236231426181 5.27015319021372 8.34873126600108e-22 1.14081121345983e-19
29799 1.30706366276564 2.15371738016182 8.67424621753286e-22 1.17431624024581e-19
10669 1.95359308640951 4.42229158296917 9.42851138623953e-22 1.26471802732301e-19
9545 1.03458129554178 6.81006760943486 1.02118175010487e-21 1.34510796110661e-19
55544 -1.05152787210282 5.06727525427998 1.02103575800316e-21 1.34510796110661e-19
60489 -2.03364997147398 4.00280940696529 1.05110091014416e-21 1.37215592921587e-19
55107 -2.74901440586354 6.86850299761935 1.11419102755424e-21 1.44164486848411e-19
125050 7.08362465032036 8.33201824323165 1.17503994870561e-21 1.5070402710548e-19
113026 -1.14835087878315 4.66591349501866 1.27270842726334e-21 1.61811042739281e-19
302 -1.13110235740695 8.35057046934025 1.35247275500527e-21 1.70469863370104e-19
79887 -1.56340719193668 3.6713097788452 1.63067515745301e-21 2.03778645103594e-19
65243 1.20910982170084 0.800769206065843 1.65112483176737e-21 2.04585560722633e-19
80221 -1.7124661507067 4.72473806357567 1.67680909873388e-21 2.06022065820068e-19
3772 -3.05317183847719 3.52805786873284 1.75868373504402e-21 2.14280957417322e-19
10611 1.96130533914403 10.2134781975211 1.7836798102282e-21 2.15530433928483e-19
140576 -1.39979861255078 5.19635993332765 2.12980091036548e-21 2.55244418938145e-19
51285 -1.65088848860125 5.98544680547093 2.23590136658883e-21 2.65781413665815e-19
100507171 -1.19282319906124 1.34258355634515 2.28939773895e-21 2.69945841461193e-19
64091 -1.64211490970995 4.50541545450968 2.52576963510682e-21 2.95434222679175e-19
10257 2.04504300488789 9.12412567217341 3.45401201962062e-21 4.00802458245025e-19
54993 0.816558736666483 3.18844978228857 3.5120565754627e-21 4.04328969998742e-19
55861 -1.32219852292799 1.81195185019956 3.8935873005746e-21 4.44751093138291e-19
10398 -1.70443589892666 10.6710687460422 4.01029381183633e-21 4.54531052890379e-19
