logFC	logCPM	PValue	adj.PValue
24141	-3.98547711362022	3.70544913405108	9.93183778740512e-07	0.000130536332410903
5320	-4.4085616298926	7.96626708609183	1.15733246418258e-06	0.000150832514176535
9882	-1.83967903324283	2.97840632468022	1.20675560211951e-06	0.000155963105277263
10611	-1.76579305552641	2.56413738644475	1.2312246567172e-06	0.000157810439677909
221981	2.00751986646788	5.09427064726206	1.34627257345316e-06	0.000171142142144959
346887	-2.48547674552413	3.80326557586746	1.36042908831452e-06	0.000171535729517642
5067	2.636132138872	5.43446159899746	1.37725069921848e-06	0.000172256299146608
83875	2.56618012501247	4.29426039387441	1.52202626775013e-06	0.000188840843092295
100505811	2.4957002856216	1.09413671716876	1.53930379198537e-06	0.00018946875007858
2191	-4.11952711217509	3.2141238287799	1.59840093863436e-06	0.000195193702025829
388336	-3.90587002750342	3.59114098512765	1.68975342828683e-06	0.000204737389994535
140738	1.60345261185973	3.1867507520795	1.81836760957194e-06	0.000218612893463962
2947	1.91807890180113	7.88185396176898	1.8454830499536e-06	0.000220166127859465
5577	2.44949645038671	5.86534103471457	1.91583029395961e-06	0.000226813832282593
10417	-2.07762735429088	6.67717633155591	1.9892390357227e-06	0.000233720516704722
79993	-3.51316109708302	4.06539815441522	2.04933292372826e-06	0.000238970709128584
6275	2.20077387480498	9.38602827015243	2.09368727811608e-06	0.000242320865644047
55	-3.14087731067778	3.76471906621778	2.18020758692044e-06	0.000250465477522586
10257	-1.14907203508591	0.794467659312611	2.2929575775653e-06	0.000261481463753384
83657	2.2673579701069	1.00539977854372	2.37631611731163e-06	0.000269009391703548
85480	2.93228377955864	6.42059151183791	2.43938300528515e-06	0.000274147761079473
58530	2.15602081201846	2.51750784441959	2.60299540036224e-06	0.000290430616289338
4045	1.39629565819153	3.20182904623336	2.69544041224191e-06	0.000296479328747941
9627	-1.88549106579365	1.6113187915533	2.69216414268967e-06	0.000296479328747941
55137	-1.39212156438548	2.74032801808779	2.79716836740106e-06	0.000305502001479036
53405	-0.942226561666123	0.735843150441112	2.90835068831419e-06	0.00031542385192353
3237	2.80733904132654	3.4006536432879	2.93736230445027e-06	0.000316357999859161
638	-1.74191367915987	2.40757536771526	2.99743579852956e-06	0.000320601598616517
3426	-1.8867685429302	2.39935857023335	3.01987463204316e-06	0.000320789285399707
